(0,84)
(0,56)
(0,64)
(0,45)
(0,13)
(0,21)
(0,10)
(0,68)
(0,76)
(0,28)
(0,36)
(0,94)
(1,77)
(1,85)
(1,57)
(1,46)
(1,14)
(1,22)
(1,11)
(1,69)
(1,29)
(1,37)
(1,95)
(2,78)
(2,86)
(2,58)
(2,39)
(2,47)
(2,15)
(2,23)
(2,12)
(2,70)
(2,30)
(2,38)
(2,96)
(3,79)
(3,87)
(3,59)
(3,40)
(3,48)
(3,16)
(3,24)
(3,71)
(3,31)
(3,89)
(3,97)
(4,80)
(4,88)
(4,52)
(4,60)
(4,41)
(4,49)
(4,17)
(4,25)
(4,72)
(4,32)
(4,90)
(4,98)
(5,81)
(5,53)
(5,61)
(5,42)
(5,50)
(5,18)
(5,65)
(5,73)
(5,33)
(5,91)
(5,99)
(6,82)
(6,54)
(6,62)
(6,43)
(6,51)
(6,19)
(6,66)
(6,74)
(6,26)
(6,34)
(6,92)
(6,100)
(7,83)
(7,55)
(7,63)
(7,44)
(7,20)
(7,9)
(7,67)
(7,75)
(7,27)
(7,35)
(7,93)
